ID,Type,FoA
1,EMG,0
1,tGUI,0
2,EMG,0.176470588
2,tGUI,0.05952381
3,EMG,0.333333333
3,tGUI,0.333333333
5,EMG,0.285714286
5,tGUI,0.4
8,EMG,0.565217391
8,tGUI,0.086956522
9,EMG,0.04
9,tGUI,0.333333333
10,EMG,0.2
10,tGUI,0.010309278
11,EMG,0.125
11,tGUI,0.038095238
12,EMG,0.383561644
12,tGUI,0.616666667
13,EMG,0.261538462
13,tGUI,0.125
14,EMG,0.311294766
14,tGUI,0.623188406
15,EMG,0.625
15,tGUI,0.75
