ID,Type,On,Off
S1003,EMG,9:50:44,9:50:45
S1003,EMG,9:50:50,9:50:56
S1003,EMG,9:50:54,9:50:54
S1003,EMG,9:50:55,9:50:55
S1003,EMG,9:50:57,9:51:04
S1003,EMG,9:51:03,9:51:06
S1005,tGUI,9:36:06,9:36:33
S1005,tGUI,9:44:36,9:44:48
S1005,tGUI,9:51:06,9:51:16
S1005,tGUI,9:51:36,9:52:06
S1005,tGUI,9:52:36,9:54:36
S1005,EMG,8:13:53,8:13:55
S1005,EMG,8:14:15,8:14:15
S1005,EMG,8:14:21,8:14:21
S1005,EMG,8:19:10,8:19:10
S1005,EMG,8:27:38,8:27:39
S1005,EMG,8:31:13,8:31:13
S1005,EMG,8:38:09,8:38:10
S1005,EMG,8:52:27,8:52:28
S1005,EMG,8:58:26,8:58:26
S1005,EMG,9:08:21,9:08:21
S1005,EMG,9:14:32,9:14:32
S1005,EMG,9:32:47,9:32:47
S1005,EMG,9:38:14,9:38:15
S1005,EMG,9:51:46,9:51:46
S1005,EMG,9:53:09,9:53:10
S1005,EMG,9:53:18,9:53:19
S1005,EMG,9:53:58,9:54:09
S1005,EMG,9:54:29,9:54:31
S1005,EMG,9:54:32,9:54:34
S1005,EMG,9:54:45,9:54:45
S1005,EMG,9:54:55,9:55:01
S1008,tGUI,9:23:28,9:23:37
S1008,tGUI,9:28:58,9:29:24
S1008,tGUI,9:32:28,9:32:43
S1008,tGUI,9:34:28,9:34:32
S1008,tGUI,9:35:28,9:35:45
S1008,tGUI,9:36:28,9:36:35
S1008,tGUI,9:38:58,9:38:58
S1008,tGUI,9:39:28,9:39:39
S1008,tGUI,9:39:58,9:40:00
S1008,tGUI,9:40:28,9:40:37
S1008,tGUI,9:40:39,9:40:44
S1008,tGUI,9:42:58,9:42:58
S1008,tGUI,9:43:00,9:43:26
S1008,tGUI,9:44:28,9:44:58
S1008,tGUI,9:45:28,9:45:30
S1008,tGUI,9:45:58,9:46:10
S1008,tGUI,9:49:28,9:49:40
S1008,tGUI,9:49:58,9:50:17
S1008,tGUI,9:50:28,9:50:50
S1008,tGUI,9:50:58,9:50:58
S1008,tGUI,9:51:00,9:51:13
S1008,tGUI,9:51:15,9:51:25
S1008,tGUI,9:51:28,9:54:58
S1008,EMG,8:34:30,8:34:30
S1008,EMG,8:35:01,8:35:01
S1008,EMG,8:35:04,8:35:04
S1008,EMG,8:35:13,8:35:13
S1008,EMG,8:35:27,8:35:28
S1008,EMG,8:35:31,8:35:32
S1008,EMG,8:35:33,8:35:33
S1008,EMG,8:35:35,8:35:35
S1008,EMG,8:53:20,8:53:20
S1008,EMG,9:26:14,9:26:14
S1008,EMG,9:51:23,9:51:23
